~~~ Starting Training ~~~
Ep.:     0, Score:  -3.72, P_win: 0.11, Tran: 85.40, eps: 0.20, lr: 2.00e-04, pred: 8775.39 min
Ep.:   500, Score:  -5.21, P_win: 0.19, Tran: 84.84, eps: 0.20, lr: 2.00e-04, pred: 301.27 min
Ep.:  1000, Score:  -3.81, P_win: 0.16, Tran: 81.33, eps: 0.19, lr: 2.00e-04, pred: 294.76 min
Ep.:  1500, Score:  -3.53, P_win: 0.17, Tran: 77.85, eps: 0.19, lr: 2.00e-04, pred: 292.07 min
Ep.:  2000, Score:  -3.05, P_win: 0.22, Tran: 80.33, eps: 0.18, lr: 2.00e-04, pred: 282.86 min
Ep.:  2500, Score:  -2.42, P_win: 0.14, Tran: 84.36, eps: 0.18, lr: 2.00e-04, pred: 275.75 min
Ep.:  3000, Score:  -3.22, P_win: 0.14, Tran: 83.25, eps: 0.17, lr: 2.00e-04, pred: 269.13 min
Ep.:  3500, Score:  -2.16, P_win: 0.18, Tran: 86.61, eps: 0.17, lr: 2.00e-04, pred: 262.82 min
Ep.:  4000, Score:  -2.89, P_win: 0.10, Tran: 85.35, eps: 0.16, lr: 2.00e-04, pred: 257.68 min
Ep.:  4500, Score:  -3.91, P_win: 0.20, Tran: 80.06, eps: 0.16, lr: 2.00e-04, pred: 253.06 min
Ep.:  5000, Score:  -2.21, P_win: 0.33, Tran: 69.75, eps: 0.16, lr: 2.00e-04, pred: 248.33 min
Ep.:  5500, Score:  -1.47, P_win: 0.25, Tran: 83.08, eps: 0.15, lr: 2.00e-04, pred: 243.75 min
Ep.:  6000, Score:  -1.46, P_win: 0.28, Tran: 80.93, eps: 0.15, lr: 2.00e-04, pred: 239.78 min
Ep.:  6500, Score:  -0.84, P_win: 0.24, Tran: 83.49, eps: 0.14, lr: 2.00e-04, pred: 236.82 min
Ep.:  7000, Score:  -2.02, P_win: 0.25, Tran: 75.45, eps: 0.14, lr: 2.00e-04, pred: 236.32 min
Ep.:  7500, Score:  -2.55, P_win: 0.41, Tran: 76.78, eps: 0.14, lr: 2.00e-04, pred: 236.59 min
Ep.:  8000, Score:  -0.64, P_win: 0.35, Tran: 72.29, eps: 0.13, lr: 2.00e-04, pred: 235.80 min
Ep.:  8500, Score:  -0.57, P_win: 0.35, Tran: 81.26, eps: 0.13, lr: 2.00e-04, pred: 234.84 min
Ep.:  9000, Score:   0.35, P_win: 0.52, Tran: 68.29, eps: 0.13, lr: 2.00e-04, pred: 233.18 min
Ep.:  9500, Score:  -0.39, P_win: 0.35, Tran: 76.61, eps: 0.12, lr: 2.00e-04, pred: 230.93 min
Ep.: 10000, Score:   0.21, P_win: 0.43, Tran: 72.21, eps: 0.12, lr: 2.00e-04, pred: 228.51 min
Ep.: 10500, Score:  -0.19, P_win: 0.47, Tran: 70.40, eps: 0.12, lr: 2.00e-04, pred: 225.57 min
Ep.: 11000, Score:   0.77, P_win: 0.53, Tran: 68.76, eps: 0.12, lr: 2.00e-04, pred: 222.43 min
Ep.: 11500, Score:   0.42, P_win: 0.49, Tran: 63.16, eps: 0.11, lr: 2.00e-04, pred: 218.91 min
Ep.: 12000, Score:   0.63, P_win: 0.42, Tran: 77.23, eps: 0.11, lr: 2.00e-04, pred: 215.07 min
