~~~ Starting Training ~~~
Ep.:     0, Score:  -2.41, P_win: 0.00, Tran: 89.48, eps: 0.20, lr: 2.00e-04, pred: 8020.54 min
Ep.:   500, Score:  -7.35, P_win: 0.14, Tran: 84.57, eps: 0.20, lr: 2.00e-04, pred: 426.94 min
Ep.:  1000, Score:  -5.28, P_win: 0.06, Tran: 87.87, eps: 0.19, lr: 2.00e-04, pred: 420.80 min
Ep.:  1500, Score:  -3.26, P_win: 0.14, Tran: 75.88, eps: 0.19, lr: 2.00e-04, pred: 414.36 min
Ep.:  2000, Score:  -3.75, P_win: 0.10, Tran: 83.63, eps: 0.18, lr: 2.00e-04, pred: 408.20 min
Ep.:  2500, Score:  -3.65, P_win: 0.08, Tran: 81.31, eps: 0.18, lr: 2.00e-04, pred: 401.95 min
Ep.:  3000, Score:  -3.86, P_win: 0.15, Tran: 81.85, eps: 0.17, lr: 2.00e-04, pred: 395.38 min
Ep.:  3500, Score:  -3.03, P_win: 0.19, Tran: 78.43, eps: 0.17, lr: 2.00e-04, pred: 387.99 min
Ep.:  4000, Score:  -3.44, P_win: 0.09, Tran: 81.90, eps: 0.16, lr: 2.00e-04, pred: 381.07 min
Ep.:  4500, Score:  -3.19, P_win: 0.18, Tran: 75.50, eps: 0.16, lr: 2.00e-04, pred: 373.81 min
Ep.:  5000, Score:  -3.36, P_win: 0.12, Tran: 83.05, eps: 0.16, lr: 2.00e-04, pred: 367.48 min
Ep.:  5500, Score:  -4.25, P_win: 0.10, Tran: 83.48, eps: 0.15, lr: 2.00e-04, pred: 361.27 min
Ep.:  6000, Score:  -3.61, P_win: 0.18, Tran: 80.84, eps: 0.15, lr: 2.00e-04, pred: 355.34 min
Ep.:  6500, Score:  -3.78, P_win: 0.14, Tran: 81.49, eps: 0.14, lr: 2.00e-04, pred: 349.36 min
Ep.:  7000, Score:  -2.60, P_win: 0.12, Tran: 81.33, eps: 0.14, lr: 2.00e-04, pred: 344.46 min
Ep.:  7500, Score:  -3.08, P_win: 0.24, Tran: 79.26, eps: 0.14, lr: 2.00e-04, pred: 341.06 min
Ep.:  8000, Score:  -2.32, P_win: 0.25, Tran: 78.89, eps: 0.13, lr: 2.00e-04, pred: 337.74 min
Ep.:  8500, Score:  -1.98, P_win: 0.26, Tran: 78.33, eps: 0.13, lr: 2.00e-04, pred: 333.87 min
Ep.:  9000, Score:  -2.66, P_win: 0.25, Tran: 80.15, eps: 0.13, lr: 2.00e-04, pred: 329.95 min
Ep.:  9500, Score:  -2.99, P_win: 0.27, Tran: 75.24, eps: 0.12, lr: 2.00e-04, pred: 325.61 min
Ep.: 10000, Score:  -1.73, P_win: 0.21, Tran: 86.06, eps: 0.12, lr: 2.00e-04, pred: 320.75 min
Ep.: 10500, Score:  -1.67, P_win: 0.30, Tran: 70.72, eps: 0.12, lr: 2.00e-04, pred: 315.58 min
Ep.: 11000, Score:  -2.00, P_win: 0.22, Tran: 77.15, eps: 0.12, lr: 2.00e-04, pred: 310.19 min
Ep.: 11500, Score:  -1.82, P_win: 0.20, Tran: 77.70, eps: 0.11, lr: 2.00e-04, pred: 304.52 min
Ep.: 12000, Score:  -2.74, P_win: 0.39, Tran: 71.38, eps: 0.11, lr: 2.00e-04, pred: 298.35 min
Ep.: 12500, Score:  -1.15, P_win: 0.22, Tran: 80.33, eps: 0.11, lr: 2.00e-04, pred: 292.10 min
Ep.: 13000, Score:  -1.26, P_win: 0.32, Tran: 76.97, eps: 0.10, lr: 2.00e-04, pred: 285.49 min
Ep.: 13500, Score:  -1.25, P_win: 0.27, Tran: 73.97, eps: 0.10, lr: 2.00e-04, pred: 278.72 min
Ep.: 14000, Score:  -1.17, P_win: 0.27, Tran: 78.85, eps: 0.10, lr: 2.00e-04, pred: 271.76 min
Ep.: 14500, Score:   0.00, P_win: 0.31, Tran: 73.58, eps: 0.10, lr: 2.00e-04, pred: 264.63 min
Ep.: 15000, Score:  -0.45, P_win: 0.30, Tran: 75.42, eps: 0.09, lr: 2.00e-04, pred: 257.39 min
Ep.: 15500, Score:  -0.49, P_win: 0.28, Tran: 79.56, eps: 0.09, lr: 1.00e-04, pred: 247.38 min
Ep.: 16000, Score:  -2.15, P_win: 0.25, Tran: 81.93, eps: 0.09, lr: 1.00e-04, pred: 237.65 min
Ep.: 16500, Score:  -1.04, P_win: 0.26, Tran: 79.06, eps: 0.09, lr: 1.00e-04, pred: 228.01 min
Ep.: 17000, Score:   0.71, P_win: 0.41, Tran: 71.40, eps: 0.09, lr: 1.00e-04, pred: 218.47 min
Ep.: 17500, Score:   0.23, P_win: 0.26, Tran: 81.19, eps: 0.08, lr: 1.00e-04, pred: 209.12 min
Ep.: 18000, Score:  -0.13, P_win: 0.44, Tran: 71.38, eps: 0.08, lr: 1.00e-04, pred: 199.91 min
Ep.: 18500, Score:   1.74, P_win: 0.48, Tran: 65.84, eps: 0.08, lr: 1.00e-04, pred: 190.78 min
Ep.: 19000, Score:  -0.38, P_win: 0.33, Tran: 75.09, eps: 0.08, lr: 1.00e-04, pred: 181.79 min
Ep.: 19500, Score:  -0.73, P_win: 0.37, Tran: 74.91, eps: 0.08, lr: 1.00e-04, pred: 172.86 min
Ep.: 20000, Score:   0.30, P_win: 0.45, Tran: 65.42, eps: 0.07, lr: 1.00e-04, pred: 164.02 min
Ep.: 20500, Score:  -0.21, P_win: 0.20, Tran: 82.07, eps: 0.07, lr: 1.00e-04, pred: 155.34 min
Ep.: 21000, Score:   0.92, P_win: 0.40, Tran: 73.66, eps: 0.07, lr: 1.00e-04, pred: 146.69 min
Ep.: 21500, Score:   0.79, P_win: 0.41, Tran: 74.31, eps: 0.07, lr: 1.00e-04, pred: 138.12 min
Ep.: 22000, Score:   0.93, P_win: 0.32, Tran: 79.90, eps: 0.07, lr: 1.00e-04, pred: 129.62 min
Ep.: 22500, Score:   0.05, P_win: 0.24, Tran: 77.49, eps: 0.06, lr: 1.00e-04, pred: 121.17 min
Ep.: 23000, Score:  -0.79, P_win: 0.33, Tran: 76.08, eps: 0.06, lr: 1.00e-04, pred: 112.82 min
Ep.: 23500, Score:   1.58, P_win: 0.42, Tran: 69.13, eps: 0.06, lr: 1.00e-04, pred: 104.48 min
Ep.: 24000, Score:  -0.49, P_win: 0.34, Tran: 74.45, eps: 0.06, lr: 1.00e-04, pred: 96.21 min
Ep.: 24500, Score:   0.56, P_win: 0.45, Tran: 69.92, eps: 0.06, lr: 1.00e-04, pred: 87.98 min
Ep.: 25000, Score:   0.57, P_win: 0.39, Tran: 74.08, eps: 0.06, lr: 1.00e-04, pred: 79.81 min
