~~~ Starting Training ~~~
Ep.:     0, Score:  -3.50, P_win: 0.06, Tran: 86.33, eps: 0.20, lr: 2.00e-04, pred: 3517.72 min
Ep.:   500, Score:  -5.88, P_win: 0.14, Tran: 83.42, eps: 0.20, lr: 2.00e-04, pred: 208.29 min
Ep.:  1000, Score:  -3.68, P_win: 0.17, Tran: 82.08, eps: 0.19, lr: 2.00e-04, pred: 206.81 min
Ep.:  1500, Score:  -4.08, P_win: 0.10, Tran: 84.46, eps: 0.19, lr: 2.00e-04, pred: 206.66 min
Ep.:  2000, Score:  -3.43, P_win: 0.20, Tran: 82.94, eps: 0.18, lr: 2.00e-04, pred: 205.27 min
Ep.:  2500, Score:  -3.14, P_win: 0.12, Tran: 80.82, eps: 0.18, lr: 2.00e-04, pred: 203.06 min
Ep.:  3000, Score:  -3.12, P_win: 0.26, Tran: 79.55, eps: 0.17, lr: 2.00e-04, pred: 200.04 min
Ep.:  3500, Score:  -3.37, P_win: 0.16, Tran: 84.11, eps: 0.17, lr: 2.00e-04, pred: 196.96 min
Ep.:  4000, Score:  -2.87, P_win: 0.15, Tran: 80.55, eps: 0.16, lr: 2.00e-04, pred: 193.82 min
Ep.:  4500, Score:  -1.82, P_win: 0.28, Tran: 73.63, eps: 0.16, lr: 2.00e-04, pred: 190.23 min
Ep.:  5000, Score:  -1.90, P_win: 0.18, Tran: 79.88, eps: 0.16, lr: 2.00e-04, pred: 186.71 min
Ep.:  5500, Score:  -2.71, P_win: 0.26, Tran: 69.94, eps: 0.15, lr: 2.00e-04, pred: 183.14 min
Ep.:  6000, Score:  -3.06, P_win: 0.19, Tran: 80.32, eps: 0.15, lr: 2.00e-04, pred: 179.44 min
Ep.:  6500, Score:  -2.78, P_win: 0.19, Tran: 84.85, eps: 0.14, lr: 2.00e-04, pred: 175.78 min
Ep.:  7000, Score:  -2.68, P_win: 0.26, Tran: 76.63, eps: 0.14, lr: 2.00e-04, pred: 172.31 min
Ep.:  7500, Score:  -1.84, P_win: 0.23, Tran: 81.44, eps: 0.14, lr: 2.00e-04, pred: 168.82 min
Ep.:  8000, Score:  -1.60, P_win: 0.24, Tran: 82.63, eps: 0.13, lr: 2.00e-04, pred: 165.32 min
Ep.:  8500, Score:  -1.97, P_win: 0.09, Tran: 88.77, eps: 0.13, lr: 2.00e-04, pred: 161.82 min
Ep.:  9000, Score:  -2.40, P_win: 0.25, Tran: 86.88, eps: 0.13, lr: 2.00e-04, pred: 158.34 min
Ep.:  9500, Score:  -1.74, P_win: 0.28, Tran: 80.08, eps: 0.12, lr: 2.00e-04, pred: 154.67 min
Ep.: 10000, Score:  -1.51, P_win: 0.19, Tran: 77.61, eps: 0.12, lr: 2.00e-04, pred: 151.01 min
Ep.: 10500, Score:  -2.10, P_win: 0.32, Tran: 76.21, eps: 0.12, lr: 2.00e-04, pred: 147.32 min
Ep.: 11000, Score:  -1.43, P_win: 0.26, Tran: 74.80, eps: 0.12, lr: 2.00e-04, pred: 143.61 min
Ep.: 11500, Score:  -2.16, P_win: 0.25, Tran: 79.68, eps: 0.11, lr: 2.00e-04, pred: 139.90 min
Ep.: 12000, Score:  -1.53, P_win: 0.21, Tran: 84.06, eps: 0.11, lr: 2.00e-04, pred: 136.19 min
Ep.: 12500, Score:  -1.19, P_win: 0.27, Tran: 79.83, eps: 0.11, lr: 2.00e-04, pred: 132.47 min
Ep.: 13000, Score:  -0.76, P_win: 0.27, Tran: 76.77, eps: 0.10, lr: 2.00e-04, pred: 128.77 min
Ep.: 13500, Score:  -1.23, P_win: 0.22, Tran: 83.70, eps: 0.10, lr: 2.00e-04, pred: 125.04 min
Ep.: 14000, Score:  -0.06, P_win: 0.26, Tran: 76.61, eps: 0.10, lr: 2.00e-04, pred: 121.30 min
Ep.: 14500, Score:  -0.39, P_win: 0.32, Tran: 80.74, eps: 0.10, lr: 2.00e-04, pred: 117.51 min
Ep.: 15000, Score:  -0.49, P_win: 0.30, Tran: 78.96, eps: 0.09, lr: 2.00e-04, pred: 113.81 min
Ep.: 15500, Score:   0.92, P_win: 0.33, Tran: 78.10, eps: 0.09, lr: 1.00e-04, pred: 110.02 min
Ep.: 16000, Score:   0.90, P_win: 0.34, Tran: 80.09, eps: 0.09, lr: 1.00e-04, pred: 106.18 min
Ep.: 16500, Score:   0.79, P_win: 0.37, Tran: 72.40, eps: 0.09, lr: 1.00e-04, pred: 102.38 min
Ep.: 17000, Score:   1.14, P_win: 0.35, Tran: 74.81, eps: 0.09, lr: 1.00e-04, pred: 98.55 min
Ep.: 17500, Score:   0.24, P_win: 0.46, Tran: 71.78, eps: 0.08, lr: 1.00e-04, pred: 94.73 min
Ep.: 18000, Score:   1.10, P_win: 0.43, Tran: 71.93, eps: 0.08, lr: 1.00e-04, pred: 90.93 min
Ep.: 18500, Score:   0.97, P_win: 0.36, Tran: 74.77, eps: 0.08, lr: 1.00e-04, pred: 87.11 min
Ep.: 19000, Score:   1.76, P_win: 0.42, Tran: 72.88, eps: 0.08, lr: 1.00e-04, pred: 83.28 min
Ep.: 19500, Score:   0.84, P_win: 0.42, Tran: 73.70, eps: 0.08, lr: 1.00e-04, pred: 79.49 min
Ep.: 20000, Score:   0.49, P_win: 0.47, Tran: 69.46, eps: 0.07, lr: 1.00e-04, pred: 75.70 min
Ep.: 20500, Score:   2.05, P_win: 0.43, Tran: 74.78, eps: 0.07, lr: 1.00e-04, pred: 71.90 min
Ep.: 21000, Score:   1.65, P_win: 0.43, Tran: 70.52, eps: 0.07, lr: 1.00e-04, pred: 68.10 min
Ep.: 21500, Score:   1.51, P_win: 0.46, Tran: 70.60, eps: 0.07, lr: 1.00e-04, pred: 64.32 min
Ep.: 22000, Score:   1.36, P_win: 0.33, Tran: 78.55, eps: 0.07, lr: 1.00e-04, pred: 60.53 min
Ep.: 22500, Score:   2.15, P_win: 0.40, Tran: 78.54, eps: 0.06, lr: 1.00e-04, pred: 56.75 min
Ep.: 23000, Score:   2.20, P_win: 0.38, Tran: 77.62, eps: 0.06, lr: 1.00e-04, pred: 52.97 min
Ep.: 23500, Score:   2.11, P_win: 0.43, Tran: 71.89, eps: 0.06, lr: 1.00e-04, pred: 49.19 min
Ep.: 24000, Score:   1.75, P_win: 0.41, Tran: 74.88, eps: 0.06, lr: 1.00e-04, pred: 45.40 min
Ep.: 24500, Score:   2.01, P_win: 0.52, Tran: 70.08, eps: 0.06, lr: 1.00e-04, pred: 41.62 min
Ep.: 25000, Score:   2.04, P_win: 0.49, Tran: 72.78, eps: 0.06, lr: 1.00e-04, pred: 37.84 min
Ep.: 25500, Score:   2.33, P_win: 0.46, Tran: 74.07, eps: 0.06, lr: 5.00e-05, pred: 34.05 min
Ep.: 26000, Score:   2.29, P_win: 0.40, Tran: 75.72, eps: 0.05, lr: 5.00e-05, pred: 30.26 min
Ep.: 26500, Score:   1.99, P_win: 0.43, Tran: 70.75, eps: 0.05, lr: 5.00e-05, pred: 26.47 min
Ep.: 27000, Score:   2.73, P_win: 0.47, Tran: 74.87, eps: 0.05, lr: 5.00e-05, pred: 22.68 min
Ep.: 27500, Score:   1.98, P_win: 0.44, Tran: 74.20, eps: 0.05, lr: 5.00e-05, pred: 18.90 min
Ep.: 28000, Score:   2.01, P_win: 0.46, Tran: 75.84, eps: 0.05, lr: 5.00e-05, pred: 15.12 min
Ep.: 28500, Score:   2.43, P_win: 0.43, Tran: 73.79, eps: 0.05, lr: 5.00e-05, pred: 11.34 min
Ep.: 29000, Score:   2.26, P_win: 0.43, Tran: 73.18, eps: 0.05, lr: 5.00e-05, pred:  7.55 min
Ep.: 29500, Score:   2.76, P_win: 0.50, Tran: 69.42, eps: 0.05, lr: 5.00e-05, pred:  3.77 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -12.32, P_win: 0.14, Tran: 82.64, eps: 0.20, lr: 2.00e-04, pred: 3832.87 min
Ep.:   500, Score:  -5.42, P_win: 0.15, Tran: 81.63, eps: 0.20, lr: 2.00e-04, pred: 246.19 min
Ep.:  1000, Score:  -5.07, P_win: 0.22, Tran: 82.70, eps: 0.19, lr: 2.00e-04, pred: 245.13 min
Ep.:  1500, Score:  -3.88, P_win: 0.18, Tran: 81.09, eps: 0.19, lr: 2.00e-04, pred: 244.07 min
Ep.:  2000, Score:  -3.01, P_win: 0.18, Tran: 80.73, eps: 0.18, lr: 2.00e-04, pred: 241.22 min
Ep.:  2500, Score:  -2.67, P_win: 0.17, Tran: 86.33, eps: 0.18, lr: 2.00e-04, pred: 238.64 min
Ep.:  3000, Score:  -3.16, P_win: 0.09, Tran: 83.93, eps: 0.17, lr: 2.00e-04, pred: 235.34 min
Ep.:  3500, Score:  -2.83, P_win: 0.10, Tran: 80.61, eps: 0.17, lr: 2.00e-04, pred: 231.54 min
Ep.:  4000, Score:  -2.55, P_win: 0.19, Tran: 81.07, eps: 0.16, lr: 2.00e-04, pred: 227.61 min
