~~~ Starting Training ~~~
Ep.:     0, Score: -11.15, P_win: 0.05, Tran: 78.93, eps: 0.20, lr: 2.00e-04, pred: 29974.06 min
Ep.:   500, Score:  -7.27, P_win: 0.12, Tran: 64.47, eps: 0.20, lr: 2.00e-04, pred: 2086.57 min
Ep.:  1000, Score:  -5.66, P_win: 0.10, Tran: 78.03, eps: 0.19, lr: 2.00e-04, pred: 2044.09 min
Ep.:  1500, Score:  -4.85, P_win: 0.11, Tran: 74.16, eps: 0.19, lr: 2.00e-04, pred: 2022.03 min
Ep.:  2000, Score:  -5.25, P_win: 0.13, Tran: 79.42, eps: 0.18, lr: 2.00e-04, pred: 1999.14 min
Ep.:  2500, Score:  -4.87, P_win: 0.21, Tran: 73.58, eps: 0.18, lr: 2.00e-04, pred: 1972.57 min
Ep.:  3000, Score:  -3.59, P_win: 0.16, Tran: 79.11, eps: 0.17, lr: 2.00e-04, pred: 1955.83 min
Ep.:  3500, Score:  -2.97, P_win: 0.20, Tran: 80.41, eps: 0.17, lr: 2.00e-04, pred: 1937.72 min
Ep.:  4000, Score:  -3.30, P_win: 0.18, Tran: 75.61, eps: 0.16, lr: 2.00e-04, pred: 1919.69 min
Ep.:  4500, Score:  -3.52, P_win: 0.20, Tran: 79.58, eps: 0.16, lr: 2.00e-04, pred: 1904.41 min
Ep.:  5000, Score:  -2.13, P_win: 0.31, Tran: 77.77, eps: 0.16, lr: 2.00e-04, pred: 1891.51 min
Ep.:  5500, Score:  -2.87, P_win: 0.32, Tran: 73.97, eps: 0.15, lr: 2.00e-04, pred: 1879.99 min
Ep.:  6000, Score:  -1.52, P_win: 0.30, Tran: 74.92, eps: 0.15, lr: 2.00e-04, pred: 1865.01 min
Ep.:  6500, Score:  -1.59, P_win: 0.35, Tran: 74.30, eps: 0.14, lr: 2.00e-04, pred: 1856.13 min
Ep.:  7000, Score:  -0.76, P_win: 0.44, Tran: 71.61, eps: 0.14, lr: 2.00e-04, pred: 1847.23 min
Ep.:  7500, Score:  -0.81, P_win: 0.32, Tran: 80.57, eps: 0.14, lr: 2.00e-04, pred: 1842.38 min
