~~~ Starting Training ~~~
Ep.:     0, Score:   7.05, P_win: 0.04, Tran: 91.33, eps: 0.20, lr: 2.00e-04, pred: 4419.89 min
Ep.:   500, Score:  -6.14, P_win: 0.17, Tran: 85.37, eps: 0.20, lr: 2.00e-04, pred: 199.26 min
Ep.:  1000, Score:  -3.65, P_win: 0.17, Tran: 81.05, eps: 0.19, lr: 2.00e-04, pred: 192.86 min
Ep.:  1500, Score:  -3.59, P_win: 0.20, Tran: 80.58, eps: 0.19, lr: 2.00e-04, pred: 184.21 min
Ep.:  2000, Score:  -3.64, P_win: 0.20, Tran: 81.79, eps: 0.18, lr: 2.00e-04, pred: 179.78 min
Ep.:  2500, Score:  -3.09, P_win: 0.15, Tran: 85.63, eps: 0.18, lr: 2.00e-04, pred: 176.42 min
Ep.:  3000, Score:  -2.41, P_win: 0.20, Tran: 81.81, eps: 0.17, lr: 2.00e-04, pred: 172.65 min
Ep.:  3500, Score:  -2.56, P_win: 0.24, Tran: 75.39, eps: 0.17, lr: 2.00e-04, pred: 168.76 min
Ep.:  4000, Score:  -2.80, P_win: 0.33, Tran: 75.37, eps: 0.16, lr: 2.00e-04, pred: 164.59 min
Ep.:  4500, Score:  -1.25, P_win: 0.27, Tran: 78.40, eps: 0.16, lr: 2.00e-04, pred: 161.20 min
Ep.:  5000, Score:  -1.79, P_win: 0.25, Tran: 81.54, eps: 0.16, lr: 2.00e-04, pred: 158.36 min
Ep.:  5500, Score:  -2.69, P_win: 0.13, Tran: 90.20, eps: 0.15, lr: 2.00e-04, pred: 155.54 min
Ep.:  6000, Score:  -3.01, P_win: 0.24, Tran: 77.59, eps: 0.15, lr: 2.00e-04, pred: 152.64 min
Ep.:  6500, Score:  -2.67, P_win: 0.18, Tran: 82.43, eps: 0.14, lr: 2.00e-04, pred: 149.68 min
Ep.:  7000, Score:  -2.07, P_win: 0.27, Tran: 74.67, eps: 0.14, lr: 2.00e-04, pred: 147.11 min
Ep.:  7500, Score:  -1.35, P_win: 0.20, Tran: 76.12, eps: 0.14, lr: 2.00e-04, pred: 144.47 min
Ep.:  8000, Score:  -2.46, P_win: 0.26, Tran: 86.43, eps: 0.13, lr: 2.00e-04, pred: 142.15 min
Ep.:  8500, Score:  -2.34, P_win: 0.24, Tran: 76.51, eps: 0.13, lr: 2.00e-04, pred: 139.44 min
Ep.:  9000, Score:   0.15, P_win: 0.29, Tran: 81.66, eps: 0.13, lr: 2.00e-04, pred: 136.50 min
Ep.:  9500, Score:  -0.66, P_win: 0.31, Tran: 82.85, eps: 0.12, lr: 2.00e-04, pred: 133.69 min
Ep.: 10000, Score:  -0.37, P_win: 0.32, Tran: 78.45, eps: 0.12, lr: 2.00e-04, pred: 130.67 min
Ep.: 10500, Score:   0.05, P_win: 0.40, Tran: 76.38, eps: 0.12, lr: 2.00e-04, pred: 127.74 min
Ep.: 11000, Score:   0.56, P_win: 0.41, Tran: 76.65, eps: 0.12, lr: 2.00e-04, pred: 124.76 min
Ep.: 11500, Score:   0.80, P_win: 0.41, Tran: 73.29, eps: 0.11, lr: 2.00e-04, pred: 121.99 min
Ep.: 12000, Score:   0.28, P_win: 0.34, Tran: 75.84, eps: 0.11, lr: 2.00e-04, pred: 118.94 min
Ep.: 12500, Score:   0.58, P_win: 0.31, Tran: 73.68, eps: 0.11, lr: 2.00e-04, pred: 115.82 min
Ep.: 13000, Score:   1.24, P_win: 0.40, Tran: 72.85, eps: 0.10, lr: 2.00e-04, pred: 112.66 min
Ep.: 13500, Score:   1.38, P_win: 0.48, Tran: 72.75, eps: 0.10, lr: 2.00e-04, pred: 109.63 min
Ep.: 14000, Score:   1.12, P_win: 0.42, Tran: 77.26, eps: 0.10, lr: 2.00e-04, pred: 106.55 min
Ep.: 14500, Score:   0.21, P_win: 0.45, Tran: 68.38, eps: 0.10, lr: 2.00e-04, pred: 103.38 min
Ep.: 15000, Score:   1.87, P_win: 0.51, Tran: 70.80, eps: 0.09, lr: 2.00e-04, pred: 100.25 min
Ep.: 15500, Score:   2.18, P_win: 0.59, Tran: 66.95, eps: 0.09, lr: 1.00e-04, pred: 96.51 min
Ep.: 16000, Score:   2.16, P_win: 0.42, Tran: 73.13, eps: 0.09, lr: 1.00e-04, pred: 92.88 min
Ep.: 16500, Score:   2.68, P_win: 0.51, Tran: 68.03, eps: 0.09, lr: 1.00e-04, pred: 89.23 min
Ep.: 17000, Score:   2.56, P_win: 0.59, Tran: 66.77, eps: 0.09, lr: 1.00e-04, pred: 85.66 min
Ep.: 17500, Score:   3.35, P_win: 0.55, Tran: 67.40, eps: 0.08, lr: 1.00e-04, pred: 82.13 min
Ep.: 18000, Score:   3.05, P_win: 0.56, Tran: 69.90, eps: 0.08, lr: 1.00e-04, pred: 78.57 min
Ep.: 18500, Score:   4.06, P_win: 0.70, Tran: 64.83, eps: 0.08, lr: 1.00e-04, pred: 75.08 min
Ep.: 19000, Score:   4.34, P_win: 0.63, Tran: 62.69, eps: 0.08, lr: 1.00e-04, pred: 71.63 min
Ep.: 19500, Score:   3.60, P_win: 0.67, Tran: 66.23, eps: 0.08, lr: 1.00e-04, pred: 68.17 min
Ep.: 20000, Score:   3.84, P_win: 0.62, Tran: 65.37, eps: 0.07, lr: 1.00e-04, pred: 64.75 min
Ep.: 20500, Score:   5.06, P_win: 0.61, Tran: 69.73, eps: 0.07, lr: 1.00e-04, pred: 61.37 min
Ep.: 21000, Score:   5.11, P_win: 0.79, Tran: 59.48, eps: 0.07, lr: 1.00e-04, pred: 57.98 min
Ep.: 21500, Score:   5.14, P_win: 0.65, Tran: 65.89, eps: 0.07, lr: 1.00e-04, pred: 54.62 min
Ep.: 22000, Score:   5.23, P_win: 0.68, Tran: 69.85, eps: 0.07, lr: 1.00e-04, pred: 51.27 min
Ep.: 22500, Score:   5.18, P_win: 0.74, Tran: 66.86, eps: 0.06, lr: 1.00e-04, pred: 47.98 min
Ep.: 23000, Score:   5.29, P_win: 0.71, Tran: 64.88, eps: 0.06, lr: 1.00e-04, pred: 44.68 min
Ep.: 23500, Score:   5.42, P_win: 0.77, Tran: 61.38, eps: 0.06, lr: 1.00e-04, pred: 41.42 min
Ep.: 24000, Score:   6.19, P_win: 0.86, Tran: 55.66, eps: 0.06, lr: 1.00e-04, pred: 38.14 min
Ep.: 24500, Score:   6.92, P_win: 0.85, Tran: 60.07, eps: 0.06, lr: 1.00e-04, pred: 34.88 min
Ep.: 25000, Score:   6.64, P_win: 0.76, Tran: 60.79, eps: 0.06, lr: 1.00e-04, pred: 31.63 min
Ep.: 25500, Score:   6.24, P_win: 0.82, Tran: 57.39, eps: 0.06, lr: 5.00e-05, pred: 28.41 min
Ep.: 26000, Score:   6.35, P_win: 0.79, Tran: 60.48, eps: 0.05, lr: 5.00e-05, pred: 25.20 min
Ep.: 26500, Score:   6.42, P_win: 0.81, Tran: 59.25, eps: 0.05, lr: 5.00e-05, pred: 22.01 min
Ep.: 27000, Score:   6.76, P_win: 0.76, Tran: 63.45, eps: 0.05, lr: 5.00e-05, pred: 18.83 min
Ep.: 27500, Score:   6.88, P_win: 0.84, Tran: 58.01, eps: 0.05, lr: 5.00e-05, pred: 15.67 min
Ep.: 28000, Score:   7.33, P_win: 0.89, Tran: 54.85, eps: 0.05, lr: 5.00e-05, pred: 12.50 min
Ep.: 28500, Score:   7.40, P_win: 0.83, Tran: 56.27, eps: 0.05, lr: 5.00e-05, pred:  9.35 min
Ep.: 29000, Score:   7.52, P_win: 0.88, Tran: 55.64, eps: 0.05, lr: 5.00e-05, pred:  6.22 min
Ep.: 29500, Score:   7.50, P_win: 0.87, Tran: 55.18, eps: 0.05, lr: 5.00e-05, pred:  3.10 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -13.92, P_win: 0.03, Tran: 92.24, eps: 0.20, lr: 2.00e-04, pred: 5287.09 min
Ep.:   500, Score:  -5.55, P_win: 0.13, Tran: 85.58, eps: 0.20, lr: 2.00e-04, pred: 180.71 min
Ep.:  1000, Score:  -3.56, P_win: 0.23, Tran: 75.20, eps: 0.19, lr: 2.00e-04, pred: 175.23 min
Ep.:  1500, Score:  -2.76, P_win: 0.19, Tran: 79.57, eps: 0.19, lr: 2.00e-04, pred: 169.78 min
Ep.:  2000, Score:  -2.43, P_win: 0.27, Tran: 77.73, eps: 0.18, lr: 2.00e-04, pred: 165.39 min
Ep.:  2500, Score:  -1.84, P_win: 0.34, Tran: 72.28, eps: 0.18, lr: 2.00e-04, pred: 161.02 min
Ep.:  3000, Score:  -1.13, P_win: 0.26, Tran: 79.38, eps: 0.17, lr: 2.00e-04, pred: 158.12 min
Ep.:  3500, Score:  -0.66, P_win: 0.31, Tran: 80.60, eps: 0.17, lr: 2.00e-04, pred: 155.58 min
Ep.:  4000, Score:  -1.58, P_win: 0.32, Tran: 77.66, eps: 0.16, lr: 2.00e-04, pred: 152.77 min
Ep.:  4500, Score:  -1.07, P_win: 0.23, Tran: 82.38, eps: 0.16, lr: 2.00e-04, pred: 149.87 min
Ep.:  5000, Score:  -0.50, P_win: 0.45, Tran: 73.22, eps: 0.16, lr: 2.00e-04, pred: 146.99 min
Ep.:  5500, Score:  -0.26, P_win: 0.43, Tran: 72.39, eps: 0.15, lr: 2.00e-04, pred: 144.13 min
Ep.:  6000, Score:  -0.31, P_win: 0.37, Tran: 78.60, eps: 0.15, lr: 2.00e-04, pred: 141.24 min
Ep.:  6500, Score:   0.14, P_win: 0.51, Tran: 71.45, eps: 0.14, lr: 2.00e-04, pred: 138.94 min
Ep.:  7000, Score:   0.81, P_win: 0.42, Tran: 75.45, eps: 0.14, lr: 2.00e-04, pred: 136.70 min
Ep.:  7500, Score:   1.02, P_win: 0.40, Tran: 72.59, eps: 0.14, lr: 2.00e-04, pred: 134.47 min
Ep.:  8000, Score:   1.47, P_win: 0.45, Tran: 75.15, eps: 0.13, lr: 2.00e-04, pred: 131.93 min
Ep.:  8500, Score:   1.32, P_win: 0.49, Tran: 69.34, eps: 0.13, lr: 2.00e-04, pred: 129.45 min
Ep.:  9000, Score:   2.18, P_win: 0.52, Tran: 71.82, eps: 0.13, lr: 2.00e-04, pred: 126.88 min
Ep.:  9500, Score:   2.70, P_win: 0.58, Tran: 64.89, eps: 0.12, lr: 2.00e-04, pred: 124.22 min
Ep.: 10000, Score:   2.59, P_win: 0.66, Tran: 61.65, eps: 0.12, lr: 2.00e-04, pred: 121.44 min
Ep.: 10500, Score:   3.42, P_win: 0.64, Tran: 65.58, eps: 0.12, lr: 2.00e-04, pred: 118.72 min
Ep.: 11000, Score:   4.10, P_win: 0.73, Tran: 62.28, eps: 0.12, lr: 2.00e-04, pred: 115.92 min
Ep.: 11500, Score:   4.70, P_win: 0.72, Tran: 68.77, eps: 0.11, lr: 2.00e-04, pred: 113.07 min
Ep.: 12000, Score:   5.14, P_win: 0.76, Tran: 65.93, eps: 0.11, lr: 2.00e-04, pred: 110.33 min
Ep.: 12500, Score:   5.51, P_win: 0.70, Tran: 63.52, eps: 0.11, lr: 2.00e-04, pred: 107.67 min
Ep.: 13000, Score:   4.77, P_win: 0.65, Tran: 68.93, eps: 0.10, lr: 2.00e-04, pred: 104.88 min
Ep.: 13500, Score:   5.06, P_win: 0.75, Tran: 59.33, eps: 0.10, lr: 2.00e-04, pred: 102.08 min
Ep.: 14000, Score:   5.69, P_win: 0.76, Tran: 62.39, eps: 0.10, lr: 2.00e-04, pred: 99.18 min
Ep.: 14500, Score:   6.06, P_win: 0.77, Tran: 59.41, eps: 0.10, lr: 2.00e-04, pred: 96.28 min
Ep.: 15000, Score:   5.14, P_win: 0.76, Tran: 59.79, eps: 0.09, lr: 2.00e-04, pred: 93.36 min
Ep.: 15500, Score:   5.75, P_win: 0.79, Tran: 60.12, eps: 0.09, lr: 1.00e-04, pred: 90.02 min
Ep.: 16000, Score:   6.86, P_win: 0.83, Tran: 58.80, eps: 0.09, lr: 1.00e-04, pred: 86.67 min
Ep.: 16500, Score:   6.61, P_win: 0.86, Tran: 56.58, eps: 0.09, lr: 1.00e-04, pred: 83.31 min
Ep.: 17000, Score:   6.48, P_win: 0.82, Tran: 58.99, eps: 0.09, lr: 1.00e-04, pred: 80.00 min
Ep.: 17500, Score:   6.45, P_win: 0.88, Tran: 57.20, eps: 0.08, lr: 1.00e-04, pred: 76.73 min
Ep.: 18000, Score:   6.27, P_win: 0.81, Tran: 56.39, eps: 0.08, lr: 1.00e-04, pred: 73.52 min
Ep.: 18500, Score:   6.84, P_win: 0.88, Tran: 55.52, eps: 0.08, lr: 1.00e-04, pred: 70.30 min
Ep.: 19000, Score:   6.80, P_win: 0.87, Tran: 56.09, eps: 0.08, lr: 1.00e-04, pred: 67.09 min
Ep.: 19500, Score:   7.15, P_win: 0.81, Tran: 56.51, eps: 0.08, lr: 1.00e-04, pred: 63.89 min
Ep.: 20000, Score:   7.05, P_win: 0.80, Tran: 56.29, eps: 0.07, lr: 1.00e-04, pred: 60.74 min
Ep.: 20500, Score:   7.39, P_win: 0.86, Tran: 54.69, eps: 0.07, lr: 1.00e-04, pred: 57.56 min
Ep.: 21000, Score:   7.51, P_win: 0.83, Tran: 55.93, eps: 0.07, lr: 1.00e-04, pred: 54.49 min
Ep.: 21500, Score:   6.92, P_win: 0.87, Tran: 54.15, eps: 0.07, lr: 1.00e-04, pred: 51.35 min
Ep.: 22000, Score:   6.87, P_win: 0.86, Tran: 51.80, eps: 0.07, lr: 1.00e-04, pred: 48.23 min
