~~~ Starting Training ~~~
Ep.:     0, Score:  -5.10, P_win: 0.03, Tran: 89.69, eps: 0.20, lr: 2.00e-04, pred: 3625.19 min
Ep.:   500, Score:  -5.14, P_win: 0.13, Tran: 84.98, eps: 0.20, lr: 2.00e-04, pred: 211.02 min
Ep.:  1000, Score:  -3.32, P_win: 0.12, Tran: 84.46, eps: 0.19, lr: 2.00e-04, pred: 210.57 min
Ep.:  1500, Score:  -3.01, P_win: 0.09, Tran: 81.34, eps: 0.19, lr: 2.00e-04, pred: 211.25 min
Ep.:  2000, Score:  -3.12, P_win: 0.22, Tran: 78.43, eps: 0.18, lr: 2.00e-04, pred: 209.34 min
Ep.:  2500, Score:  -3.19, P_win: 0.18, Tran: 80.86, eps: 0.18, lr: 2.00e-04, pred: 206.59 min
Ep.:  3000, Score:  -2.96, P_win: 0.20, Tran: 76.32, eps: 0.17, lr: 2.00e-04, pred: 203.89 min
Ep.:  3500, Score:  -1.93, P_win: 0.17, Tran: 82.00, eps: 0.17, lr: 2.00e-04, pred: 200.97 min
Ep.:  4000, Score:  -2.53, P_win: 0.26, Tran: 74.24, eps: 0.16, lr: 2.00e-04, pred: 197.92 min
Ep.:  4500, Score:  -2.61, P_win: 0.15, Tran: 85.95, eps: 0.16, lr: 2.00e-04, pred: 194.66 min
Ep.:  5000, Score:  -1.76, P_win: 0.20, Tran: 76.37, eps: 0.16, lr: 2.00e-04, pred: 190.92 min
Ep.:  5500, Score:  -1.50, P_win: 0.30, Tran: 74.78, eps: 0.15, lr: 2.00e-04, pred: 187.29 min
Ep.:  6000, Score:  -1.08, P_win: 0.24, Tran: 79.45, eps: 0.15, lr: 2.00e-04, pred: 183.68 min
Ep.:  6500, Score:  -1.34, P_win: 0.31, Tran: 80.27, eps: 0.14, lr: 2.00e-04, pred: 179.96 min
Ep.:  7000, Score:  -1.80, P_win: 0.30, Tran: 81.95, eps: 0.14, lr: 2.00e-04, pred: 176.30 min
Ep.:  7500, Score:  -1.33, P_win: 0.24, Tran: 81.15, eps: 0.14, lr: 2.00e-04, pred: 172.48 min
Ep.:  8000, Score:  -0.80, P_win: 0.24, Tran: 79.95, eps: 0.13, lr: 2.00e-04, pred: 168.76 min
Ep.:  8500, Score:  -0.55, P_win: 0.32, Tran: 74.28, eps: 0.13, lr: 2.00e-04, pred: 164.97 min
Ep.:  9000, Score:  -0.03, P_win: 0.36, Tran: 74.84, eps: 0.13, lr: 2.00e-04, pred: 161.19 min
Ep.:  9500, Score:   0.06, P_win: 0.35, Tran: 72.62, eps: 0.12, lr: 2.00e-04, pred: 157.38 min
Ep.: 10000, Score:   0.59, P_win: 0.30, Tran: 75.46, eps: 0.12, lr: 2.00e-04, pred: 153.53 min
