~~~ Starting Training ~~~
Ep.:     0, Score: -13.16, P_win: 0.02, Tran: 89.50, eps: 0.20, lr: 2.00e-04, pred: 4992.85 min
Ep.:   500, Score:  -7.46, P_win: 0.07, Tran: 73.09, eps: 0.20, lr: 2.00e-04, pred: 200.22 min
Ep.:  1000, Score:  -5.34, P_win: 0.16, Tran: 73.43, eps: 0.19, lr: 2.00e-04, pred: 189.97 min
Ep.:  1500, Score:  -4.26, P_win: 0.16, Tran: 70.55, eps: 0.19, lr: 2.00e-04, pred: 183.79 min
Ep.:  2000, Score:  -3.35, P_win: 0.21, Tran: 81.58, eps: 0.18, lr: 2.00e-04, pred: 179.65 min
Ep.:  2500, Score:  -3.36, P_win: 0.17, Tran: 70.13, eps: 0.18, lr: 2.00e-04, pred: 174.25 min
Ep.:  3000, Score:  -1.87, P_win: 0.13, Tran: 89.70, eps: 0.17, lr: 2.00e-04, pred: 171.19 min
Ep.:  3500, Score:  -1.53, P_win: 0.35, Tran: 80.96, eps: 0.17, lr: 2.00e-04, pred: 168.17 min
Ep.:  4000, Score:  -0.56, P_win: 0.23, Tran: 84.39, eps: 0.16, lr: 2.00e-04, pred: 164.71 min
Ep.:  4500, Score:   0.94, P_win: 0.52, Tran: 75.10, eps: 0.16, lr: 2.00e-04, pred: 161.23 min
Ep.:  5000, Score:   3.16, P_win: 0.67, Tran: 71.07, eps: 0.16, lr: 2.00e-04, pred: 157.70 min
Ep.:  5500, Score:   4.32, P_win: 0.72, Tran: 64.28, eps: 0.15, lr: 2.00e-04, pred: 154.34 min
Ep.:  6000, Score:   5.22, P_win: 0.56, Tran: 77.43, eps: 0.15, lr: 2.00e-04, pred: 151.23 min
Ep.:  6500, Score:   5.46, P_win: 0.84, Tran: 61.41, eps: 0.14, lr: 2.00e-04, pred: 148.33 min
Ep.:  7000, Score:   5.65, P_win: 0.90, Tran: 55.51, eps: 0.14, lr: 2.00e-04, pred: 145.56 min
