~~~ Starting Training ~~~
Ep.:     0, Score:  -2.36, P_win: 0.02, Tran: 91.67, eps: 0.20, lr: 2.00e-04, pred: 8755.18 min
Ep.:   500, Score:  -7.09, P_win: 0.14, Tran: 80.30, eps: 0.20, lr: 2.00e-04, pred: 454.08 min
Ep.:  1000, Score:  -4.27, P_win: 0.15, Tran: 80.39, eps: 0.19, lr: 2.00e-04, pred: 445.70 min
Ep.:  1500, Score:  -3.42, P_win: 0.20, Tran: 79.22, eps: 0.19, lr: 2.00e-04, pred: 439.91 min
Ep.:  2000, Score:  -2.67, P_win: 0.25, Tran: 74.33, eps: 0.18, lr: 2.00e-04, pred: 433.86 min
Ep.:  2500, Score:  -2.10, P_win: 0.27, Tran: 78.92, eps: 0.18, lr: 2.00e-04, pred: 426.81 min
Ep.:  3000, Score:  -1.15, P_win: 0.27, Tran: 75.21, eps: 0.17, lr: 2.00e-04, pred: 418.84 min
Ep.:  3500, Score:  -1.98, P_win: 0.23, Tran: 76.55, eps: 0.17, lr: 2.00e-04, pred: 411.81 min
Ep.:  4000, Score:  -1.91, P_win: 0.12, Tran: 87.37, eps: 0.16, lr: 2.00e-04, pred: 405.07 min
Ep.:  4500, Score:  -2.35, P_win: 0.25, Tran: 79.75, eps: 0.16, lr: 2.00e-04, pred: 398.10 min
Ep.:  5000, Score:  -1.27, P_win: 0.33, Tran: 75.20, eps: 0.16, lr: 2.00e-04, pred: 390.91 min
Ep.:  5500, Score:  -0.71, P_win: 0.35, Tran: 73.31, eps: 0.15, lr: 2.00e-04, pred: 383.80 min
Ep.:  6000, Score:  -0.62, P_win: 0.39, Tran: 72.94, eps: 0.15, lr: 2.00e-04, pred: 376.92 min
Ep.:  6500, Score:  -0.91, P_win: 0.37, Tran: 75.50, eps: 0.14, lr: 2.00e-04, pred: 370.69 min
Ep.:  7000, Score:  -1.29, P_win: 0.24, Tran: 79.50, eps: 0.14, lr: 2.00e-04, pred: 365.43 min
Ep.:  7500, Score:  -0.67, P_win: 0.40, Tran: 70.51, eps: 0.14, lr: 2.00e-04, pred: 360.40 min
Ep.:  8000, Score:   0.79, P_win: 0.43, Tran: 71.96, eps: 0.13, lr: 2.00e-04, pred: 354.98 min
Ep.:  8500, Score:   0.64, P_win: 0.46, Tran: 68.82, eps: 0.13, lr: 2.00e-04, pred: 349.41 min
Ep.:  9000, Score:  -0.20, P_win: 0.54, Tran: 64.44, eps: 0.13, lr: 2.00e-04, pred: 343.67 min
Ep.:  9500, Score:   0.93, P_win: 0.45, Tran: 66.82, eps: 0.12, lr: 2.00e-04, pred: 337.63 min
Ep.: 10000, Score:   0.74, P_win: 0.41, Tran: 72.67, eps: 0.12, lr: 2.00e-04, pred: 331.32 min
Ep.: 10500, Score:   1.76, P_win: 0.45, Tran: 71.91, eps: 0.12, lr: 2.00e-04, pred: 324.95 min
Ep.: 11000, Score:   0.44, P_win: 0.41, Tran: 71.93, eps: 0.12, lr: 2.00e-04, pred: 318.41 min
Ep.: 11500, Score:   2.79, P_win: 0.48, Tran: 72.60, eps: 0.11, lr: 2.00e-04, pred: 311.52 min
Ep.: 12000, Score:   2.35, P_win: 0.46, Tran: 69.09, eps: 0.11, lr: 2.00e-04, pred: 304.40 min
Ep.: 12500, Score:   2.00, P_win: 0.65, Tran: 62.19, eps: 0.11, lr: 2.00e-04, pred: 297.23 min
Ep.: 13000, Score:   3.48, P_win: 0.58, Tran: 67.74, eps: 0.10, lr: 2.00e-04, pred: 289.94 min
Ep.: 13500, Score:   3.14, P_win: 0.60, Tran: 72.42, eps: 0.10, lr: 2.00e-04, pred: 282.63 min
Ep.: 14000, Score:   2.35, P_win: 0.62, Tran: 63.09, eps: 0.10, lr: 2.00e-04, pred: 275.17 min
Ep.: 14500, Score:   2.78, P_win: 0.64, Tran: 61.90, eps: 0.10, lr: 2.00e-04, pred: 267.61 min
Ep.: 15000, Score:   3.35, P_win: 0.73, Tran: 61.28, eps: 0.09, lr: 2.00e-04, pred: 259.81 min
Ep.: 15500, Score:   3.98, P_win: 0.65, Tran: 68.60, eps: 0.09, lr: 1.00e-04, pred: 250.06 min
Ep.: 16000, Score:   3.90, P_win: 0.81, Tran: 54.29, eps: 0.09, lr: 1.00e-04, pred: 240.46 min
Ep.: 16500, Score:   4.93, P_win: 0.69, Tran: 60.55, eps: 0.09, lr: 1.00e-04, pred: 230.95 min
Ep.: 17000, Score:   5.49, P_win: 0.88, Tran: 52.28, eps: 0.09, lr: 1.00e-04, pred: 221.50 min
Ep.: 17500, Score:   5.98, P_win: 0.75, Tran: 59.48, eps: 0.08, lr: 1.00e-04, pred: 212.19 min
Ep.: 18000, Score:   5.51, P_win: 0.78, Tran: 58.69, eps: 0.08, lr: 1.00e-04, pred: 203.03 min
Ep.: 18500, Score:   6.66, P_win: 0.80, Tran: 56.90, eps: 0.08, lr: 1.00e-04, pred: 193.92 min
Ep.: 19000, Score:   6.69, P_win: 0.88, Tran: 54.31, eps: 0.08, lr: 1.00e-04, pred: 184.89 min
Ep.: 19500, Score:   6.86, P_win: 0.82, Tran: 55.48, eps: 0.08, lr: 1.00e-04, pred: 175.93 min
Ep.: 20000, Score:   7.31, P_win: 0.87, Tran: 52.14, eps: 0.07, lr: 1.00e-04, pred: 167.04 min
Ep.: 20500, Score:   7.09, P_win: 0.89, Tran: 52.51, eps: 0.07, lr: 1.00e-04, pred: 158.23 min
Ep.: 21000, Score:   7.19, P_win: 0.93, Tran: 49.41, eps: 0.07, lr: 1.00e-04, pred: 149.47 min
Ep.: 21500, Score:   7.02, P_win: 0.91, Tran: 50.18, eps: 0.07, lr: 1.00e-04, pred: 140.78 min
Ep.: 22000, Score:   8.02, P_win: 0.97, Tran: 50.47, eps: 0.07, lr: 1.00e-04, pred: 132.17 min
Ep.: 22500, Score:   7.69, P_win: 0.85, Tran: 53.46, eps: 0.06, lr: 1.00e-04, pred: 123.64 min
Ep.: 23000, Score:   7.96, P_win: 0.93, Tran: 50.66, eps: 0.06, lr: 1.00e-04, pred: 115.14 min
Ep.: 23500, Score:   8.02, P_win: 0.91, Tran: 52.60, eps: 0.06, lr: 1.00e-04, pred: 106.69 min
Ep.: 24000, Score:   8.11, P_win: 0.93, Tran: 47.64, eps: 0.06, lr: 1.00e-04, pred: 98.29 min
Ep.: 24500, Score:   7.26, P_win: 0.92, Tran: 50.29, eps: 0.06, lr: 1.00e-04, pred: 89.93 min
Ep.: 25000, Score:   7.80, P_win: 0.95, Tran: 48.06, eps: 0.06, lr: 1.00e-04, pred: 81.61 min
Ep.: 25500, Score:   8.28, P_win: 0.89, Tran: 51.92, eps: 0.06, lr: 5.00e-05, pred: 73.28 min
Ep.: 26000, Score:   8.37, P_win: 0.90, Tran: 50.58, eps: 0.05, lr: 5.00e-05, pred: 65.00 min
Ep.: 26500, Score:   8.53, P_win: 0.88, Tran: 53.01, eps: 0.05, lr: 5.00e-05, pred: 56.75 min
Ep.: 27000, Score:   8.84, P_win: 0.94, Tran: 46.78, eps: 0.05, lr: 5.00e-05, pred: 48.54 min
Ep.: 27500, Score:   8.59, P_win: 0.92, Tran: 48.09, eps: 0.05, lr: 5.00e-05, pred: 40.37 min
Ep.: 28000, Score:   8.85, P_win: 0.98, Tran: 45.16, eps: 0.05, lr: 5.00e-05, pred: 32.23 min
Ep.: 28500, Score:   8.98, P_win: 0.91, Tran: 48.76, eps: 0.05, lr: 5.00e-05, pred: 24.13 min
Ep.: 29000, Score:   8.68, P_win: 0.93, Tran: 49.62, eps: 0.05, lr: 5.00e-05, pred: 16.05 min
Ep.: 29500, Score:   8.75, P_win: 0.93, Tran: 49.44, eps: 0.05, lr: 5.00e-05, pred:  8.00 min
~~~ Training Complete ~~~
DONE!
