~~~ Starting Training ~~~
Ep.:     0, Score: -11.04, P_win: 0.04, Tran: 93.28, eps: 0.20, lr: 2.00e-04, pred: 71522.31 min
Ep.:   500, Score:  -6.95, P_win: 0.12, Tran: 84.99, eps: 0.20, lr: 2.00e-04, pred: 543.11 min
Ep.:  1000, Score:  -4.73, P_win: 0.15, Tran: 83.46, eps: 0.19, lr: 2.00e-04, pred: 466.82 min
Ep.:  1500, Score:  -3.32, P_win: 0.14, Tran: 81.72, eps: 0.19, lr: 2.00e-04, pred: 435.04 min
Ep.:  2000, Score:  -2.99, P_win: 0.18, Tran: 80.80, eps: 0.18, lr: 2.00e-04, pred: 416.28 min
Ep.:  2500, Score:  -2.98, P_win: 0.18, Tran: 82.83, eps: 0.18, lr: 2.00e-04, pred: 405.54 min
Ep.:  3000, Score:  -2.58, P_win: 0.20, Tran: 80.14, eps: 0.17, lr: 2.00e-04, pred: 392.91 min
Ep.:  3500, Score:  -2.74, P_win: 0.21, Tran: 79.89, eps: 0.17, lr: 2.00e-04, pred: 384.69 min
Ep.:  4000, Score:  -2.53, P_win: 0.23, Tran: 77.48, eps: 0.16, lr: 2.00e-04, pred: 376.40 min
Ep.:  4500, Score:  -2.47, P_win: 0.26, Tran: 77.52, eps: 0.16, lr: 2.00e-04, pred: 369.00 min
Ep.:  5000, Score:  -3.12, P_win: 0.15, Tran: 86.29, eps: 0.16, lr: 2.00e-04, pred: 363.93 min
Ep.:  5500, Score:  -2.79, P_win: 0.25, Tran: 86.24, eps: 0.15, lr: 2.00e-04, pred: 358.32 min
Ep.:  6000, Score:  -2.44, P_win: 0.21, Tran: 79.09, eps: 0.15, lr: 2.00e-04, pred: 352.71 min
Ep.:  6500, Score:  -2.34, P_win: 0.27, Tran: 79.53, eps: 0.14, lr: 2.00e-04, pred: 347.38 min
Ep.:  7000, Score:  -1.43, P_win: 0.27, Tran: 79.28, eps: 0.14, lr: 2.00e-04, pred: 342.82 min
