~~~ Starting Training ~~~
Ep.:     0, Score: -11.56, P_win: 0.01, Tran: 89.60, eps: 0.20, lr: 2.00e-04, pred: 16126.01 min
Ep.:   500, Score:  -6.48, P_win: 0.12, Tran: 74.19, eps: 0.20, lr: 2.00e-04, pred: 752.06 min
Ep.:  1000, Score:  -5.25, P_win: 0.17, Tran: 74.54, eps: 0.19, lr: 2.00e-04, pred: 714.04 min
Ep.:  1500, Score:  -4.65, P_win: 0.18, Tran: 74.35, eps: 0.19, lr: 2.00e-04, pred: 705.78 min
Ep.:  2000, Score:  -4.59, P_win: 0.14, Tran: 76.53, eps: 0.18, lr: 2.00e-04, pred: 691.36 min
Ep.:  2500, Score:  -4.01, P_win: 0.16, Tran: 86.09, eps: 0.18, lr: 2.00e-04, pred: 684.24 min
Ep.:  3000, Score:  -3.83, P_win: 0.22, Tran: 77.45, eps: 0.17, lr: 2.00e-04, pred: 675.10 min
Ep.:  3500, Score:  -3.36, P_win: 0.17, Tran: 78.40, eps: 0.17, lr: 2.00e-04, pred: 667.42 min
Ep.:  4000, Score:  -3.81, P_win: 0.21, Tran: 77.75, eps: 0.16, lr: 2.00e-04, pred: 663.92 min
Ep.:  4500, Score:  -2.98, P_win: 0.14, Tran: 82.11, eps: 0.16, lr: 2.00e-04, pred: 658.42 min
Ep.:  5000, Score:  -3.36, P_win: 0.15, Tran: 82.17, eps: 0.16, lr: 2.00e-04, pred: 654.39 min
Ep.:  5500, Score:  -2.52, P_win: 0.24, Tran: 76.46, eps: 0.15, lr: 2.00e-04, pred: 650.55 min
Ep.:  6000, Score:  -1.98, P_win: 0.23, Tran: 83.01, eps: 0.15, lr: 2.00e-04, pred: 645.33 min
Ep.:  6500, Score:  -1.99, P_win: 0.28, Tran: 77.31, eps: 0.14, lr: 2.00e-04, pred: 642.30 min
Ep.:  7000, Score:  -1.15, P_win: 0.28, Tran: 78.57, eps: 0.14, lr: 2.00e-04, pred: 637.92 min
Ep.:  7500, Score:  -1.57, P_win: 0.31, Tran: 79.49, eps: 0.14, lr: 2.00e-04, pred: 636.00 min
Ep.:  8000, Score:  -0.73, P_win: 0.37, Tran: 78.92, eps: 0.13, lr: 2.00e-04, pred: 633.56 min
Ep.:  8500, Score:  -0.87, P_win: 0.37, Tran: 74.76, eps: 0.13, lr: 2.00e-04, pred: 631.61 min
Ep.:  9000, Score:  -0.64, P_win: 0.30, Tran: 74.74, eps: 0.13, lr: 2.00e-04, pred: 627.69 min
Ep.:  9500, Score:   0.00, P_win: 0.36, Tran: 78.47, eps: 0.12, lr: 2.00e-04, pred: 625.65 min
Ep.: 10000, Score:   0.29, P_win: 0.39, Tran: 77.37, eps: 0.12, lr: 2.00e-04, pred: 622.36 min
Ep.: 10500, Score:   0.51, P_win: 0.49, Tran: 70.61, eps: 0.12, lr: 2.00e-04, pred: 619.93 min
Ep.: 11000, Score:   0.96, P_win: 0.37, Tran: 80.31, eps: 0.12, lr: 2.00e-04, pred: 616.08 min
Ep.: 11500, Score:   1.44, P_win: 0.48, Tran: 63.69, eps: 0.11, lr: 2.00e-04, pred: 612.31 min
Ep.: 12000, Score:   1.83, P_win: 0.44, Tran: 74.21, eps: 0.11, lr: 2.00e-04, pred: 608.48 min
Ep.: 12500, Score:   1.81, P_win: 0.44, Tran: 76.17, eps: 0.11, lr: 2.00e-04, pred: 605.29 min
Ep.: 13000, Score:   2.18, P_win: 0.42, Tran: 71.75, eps: 0.10, lr: 2.00e-04, pred: 601.28 min
Ep.: 13500, Score:   1.58, P_win: 0.54, Tran: 65.54, eps: 0.10, lr: 2.00e-04, pred: 596.90 min
Ep.: 14000, Score:   1.21, P_win: 0.61, Tran: 66.00, eps: 0.10, lr: 2.00e-04, pred: 593.15 min
Ep.: 14500, Score:   2.51, P_win: 0.48, Tran: 71.83, eps: 0.10, lr: 2.00e-04, pred: 589.68 min
Ep.: 15000, Score:   2.69, P_win: 0.60, Tran: 65.41, eps: 0.09, lr: 2.00e-04, pred: 586.03 min
Ep.: 15500, Score:   2.76, P_win: 0.53, Tran: 68.92, eps: 0.09, lr: 2.00e-04, pred: 582.27 min
Ep.: 16000, Score:   3.10, P_win: 0.62, Tran: 61.83, eps: 0.09, lr: 2.00e-04, pred: 578.11 min
Ep.: 16500, Score:   2.68, P_win: 0.64, Tran: 62.55, eps: 0.09, lr: 2.00e-04, pred: 574.49 min
Ep.: 17000, Score:   3.78, P_win: 0.62, Tran: 65.07, eps: 0.09, lr: 2.00e-04, pred: 571.01 min
Ep.: 17500, Score:   3.55, P_win: 0.72, Tran: 62.37, eps: 0.08, lr: 2.00e-04, pred: 566.78 min
Ep.: 18000, Score:   4.06, P_win: 0.65, Tran: 61.32, eps: 0.08, lr: 2.00e-04, pred: 562.92 min
Ep.: 18500, Score:   3.55, P_win: 0.72, Tran: 61.60, eps: 0.08, lr: 2.00e-04, pred: 559.22 min
Ep.: 19000, Score:   3.29, P_win: 0.62, Tran: 66.11, eps: 0.08, lr: 2.00e-04, pred: 555.34 min
Ep.: 19500, Score:   4.15, P_win: 0.62, Tran: 61.99, eps: 0.08, lr: 2.00e-04, pred: 552.08 min
Ep.: 20000, Score:   4.56, P_win: 0.59, Tran: 63.21, eps: 0.07, lr: 2.00e-04, pred: 548.56 min
Ep.: 20500, Score:   3.74, P_win: 0.62, Tran: 64.72, eps: 0.07, lr: 2.00e-04, pred: 545.01 min
Ep.: 21000, Score:   3.83, P_win: 0.69, Tran: 58.93, eps: 0.07, lr: 2.00e-04, pred: 541.56 min
Ep.: 21500, Score:   4.36, P_win: 0.71, Tran: 61.68, eps: 0.07, lr: 2.00e-04, pred: 538.24 min
Ep.: 22000, Score:   4.83, P_win: 0.60, Tran: 66.10, eps: 0.07, lr: 2.00e-04, pred: 534.88 min
Ep.: 22500, Score:   4.61, P_win: 0.68, Tran: 63.07, eps: 0.06, lr: 2.00e-04, pred: 531.62 min
Ep.: 23000, Score:   4.38, P_win: 0.69, Tran: 60.64, eps: 0.06, lr: 2.00e-04, pred: 528.35 min
Ep.: 23500, Score:   4.81, P_win: 0.65, Tran: 64.46, eps: 0.06, lr: 2.00e-04, pred: 524.80 min
Ep.: 24000, Score:   4.97, P_win: 0.67, Tran: 63.21, eps: 0.06, lr: 2.00e-04, pred: 521.58 min
Ep.: 24500, Score:   5.59, P_win: 0.68, Tran: 60.04, eps: 0.06, lr: 2.00e-04, pred: 517.92 min
Ep.: 25000, Score:   5.49, P_win: 0.74, Tran: 59.04, eps: 0.06, lr: 2.00e-04, pred: 514.69 min
Ep.: 25500, Score:   4.74, P_win: 0.69, Tran: 62.47, eps: 0.06, lr: 2.00e-04, pred: 511.55 min
Ep.: 26000, Score:   4.76, P_win: 0.68, Tran: 59.62, eps: 0.05, lr: 2.00e-04, pred: 508.24 min
Ep.: 26500, Score:   5.54, P_win: 0.67, Tran: 62.97, eps: 0.05, lr: 2.00e-04, pred: 504.83 min
Ep.: 27000, Score:   4.89, P_win: 0.66, Tran: 65.03, eps: 0.05, lr: 2.00e-04, pred: 501.34 min
Ep.: 27500, Score:   5.04, P_win: 0.68, Tran: 62.83, eps: 0.05, lr: 2.00e-04, pred: 497.76 min
Ep.: 28000, Score:   4.81, P_win: 0.66, Tran: 62.73, eps: 0.05, lr: 2.00e-04, pred: 494.01 min
Ep.: 28500, Score:   5.36, P_win: 0.68, Tran: 62.32, eps: 0.05, lr: 2.00e-04, pred: 490.53 min
Ep.: 29000, Score:   5.21, P_win: 0.72, Tran: 55.08, eps: 0.05, lr: 2.00e-04, pred: 487.03 min
Ep.: 29500, Score:   5.17, P_win: 0.66, Tran: 59.52, eps: 0.05, lr: 2.00e-04, pred: 483.62 min
Ep.: 30000, Score:   5.37, P_win: 0.78, Tran: 56.39, eps: 0.04, lr: 2.00e-04, pred: 480.29 min
Ep.: 30500, Score:   5.38, P_win: 0.65, Tran: 62.62, eps: 0.04, lr: 2.00e-04, pred: 476.73 min
Ep.: 31000, Score:   5.05, P_win: 0.74, Tran: 60.58, eps: 0.04, lr: 2.00e-04, pred: 473.50 min
