~~~ Starting Training ~~~
Ep.:     0, Score:  -2.88, P_win: 0.02, Tran: 87.03, eps: 0.20, lr: 2.00e-04, pred: 26288.62 min
Ep.:   500, Score:  -6.76, P_win: 0.18, Tran: 77.67, eps: 0.20, lr: 2.00e-04, pred: 1016.93 min
Ep.:  1000, Score:  -4.59, P_win: 0.13, Tran: 76.19, eps: 0.19, lr: 2.00e-04, pred: 966.61 min
Ep.:  1500, Score:  -5.03, P_win: 0.17, Tran: 76.11, eps: 0.19, lr: 2.00e-04, pred: 960.50 min
Ep.:  2000, Score:  -4.72, P_win: 0.24, Tran: 73.29, eps: 0.18, lr: 2.00e-04, pred: 945.21 min
Ep.:  2500, Score:  -4.13, P_win: 0.18, Tran: 78.68, eps: 0.18, lr: 2.00e-04, pred: 951.65 min
Ep.:  3000, Score:  -4.67, P_win: 0.14, Tran: 80.39, eps: 0.17, lr: 2.00e-04, pred: 963.86 min
Ep.:  3500, Score:  -4.30, P_win: 0.08, Tran: 80.93, eps: 0.17, lr: 2.00e-04, pred: 977.97 min
Ep.:  4000, Score:  -4.18, P_win: 0.14, Tran: 75.70, eps: 0.16, lr: 2.00e-04, pred: 991.92 min
Ep.:  4500, Score:  -3.96, P_win: 0.19, Tran: 79.59, eps: 0.16, lr: 2.00e-04, pred: 1009.74 min
Ep.:  5000, Score:  -3.52, P_win: 0.13, Tran: 80.75, eps: 0.16, lr: 2.00e-04, pred: 1025.81 min
Ep.:  5500, Score:  -3.73, P_win: 0.18, Tran: 79.04, eps: 0.15, lr: 2.00e-04, pred: 1043.11 min
Ep.:  6000, Score:  -3.48, P_win: 0.10, Tran: 84.84, eps: 0.15, lr: 2.00e-04, pred: 1060.40 min
Ep.:  6500, Score:  -3.19, P_win: 0.13, Tran: 80.11, eps: 0.14, lr: 2.00e-04, pred: 1078.32 min
Ep.:  7000, Score:  -3.36, P_win: 0.18, Tran: 77.91, eps: 0.14, lr: 2.00e-04, pred: 1096.36 min
Ep.:  7500, Score:  -3.45, P_win: 0.16, Tran: 81.64, eps: 0.14, lr: 2.00e-04, pred: 1114.61 min
Ep.:  8000, Score:  -2.98, P_win: 0.15, Tran: 81.10, eps: 0.13, lr: 2.00e-04, pred: 1132.33 min
Ep.:  8500, Score:  -2.56, P_win: 0.24, Tran: 79.58, eps: 0.13, lr: 2.00e-04, pred: 1147.24 min
Ep.:  9000, Score:  -2.04, P_win: 0.16, Tran: 80.04, eps: 0.13, lr: 2.00e-04, pred: 1161.21 min
