~~~ Starting Training ~~~
Ep.:     0, Score:   7.05, P_win: 0.08, Tran: 93.68, eps: 0.20, lr: 2.00e-04, pred: 4569.69 min
Ep.:   500, Score:  -4.67, P_win: 0.12, Tran: 85.39, eps: 0.20, lr: 2.00e-04, pred: 202.91 min
Ep.:  1000, Score:  -2.87, P_win: 0.18, Tran: 80.23, eps: 0.19, lr: 2.00e-04, pred: 192.61 min
Ep.:  1500, Score:  -1.65, P_win: 0.27, Tran: 78.62, eps: 0.19, lr: 2.00e-04, pred: 184.55 min
Ep.:  2000, Score:  -1.35, P_win: 0.36, Tran: 74.96, eps: 0.18, lr: 2.00e-04, pred: 178.39 min
Ep.:  2500, Score:  -1.48, P_win: 0.33, Tran: 78.46, eps: 0.18, lr: 2.00e-04, pred: 173.28 min
Ep.:  3000, Score:  -0.90, P_win: 0.33, Tran: 72.63, eps: 0.17, lr: 2.00e-04, pred: 169.10 min
Ep.:  3500, Score:  -0.96, P_win: 0.28, Tran: 79.86, eps: 0.17, lr: 2.00e-04, pred: 164.85 min
Ep.:  4000, Score:  -0.21, P_win: 0.48, Tran: 72.24, eps: 0.16, lr: 2.00e-04, pred: 161.21 min
Ep.:  4500, Score:   0.10, P_win: 0.41, Tran: 69.24, eps: 0.16, lr: 2.00e-04, pred: 157.47 min
Ep.:  5000, Score:   0.87, P_win: 0.39, Tran: 74.05, eps: 0.16, lr: 2.00e-04, pred: 153.89 min
Ep.:  5500, Score:   0.43, P_win: 0.43, Tran: 70.24, eps: 0.15, lr: 2.00e-04, pred: 150.66 min
Ep.:  6000, Score:   1.44, P_win: 0.43, Tran: 70.41, eps: 0.15, lr: 2.00e-04, pred: 147.17 min
Ep.:  6500, Score:   1.62, P_win: 0.43, Tran: 67.63, eps: 0.14, lr: 2.00e-04, pred: 143.85 min
Ep.:  7000, Score:   0.81, P_win: 0.39, Tran: 75.74, eps: 0.14, lr: 2.00e-04, pred: 141.24 min
Ep.:  7500, Score:   2.18, P_win: 0.48, Tran: 74.85, eps: 0.14, lr: 2.00e-04, pred: 138.28 min
Ep.:  8000, Score:   2.40, P_win: 0.52, Tran: 68.23, eps: 0.13, lr: 2.00e-04, pred: 135.31 min
Ep.:  8500, Score:   2.51, P_win: 0.64, Tran: 64.37, eps: 0.13, lr: 2.00e-04, pred: 132.15 min
Ep.:  9000, Score:   2.03, P_win: 0.55, Tran: 68.53, eps: 0.13, lr: 2.00e-04, pred: 129.18 min
Ep.:  9500, Score:   3.20, P_win: 0.57, Tran: 62.65, eps: 0.12, lr: 2.00e-04, pred: 126.06 min
Ep.: 10000, Score:   4.07, P_win: 0.66, Tran: 63.65, eps: 0.12, lr: 2.00e-04, pred: 122.82 min
