~~~ Starting Training ~~~
Ep.:     0, Score: -12.34, P_win: 0.01, Tran: 79.73, eps: 0.20, lr: 2.00e-04, pred: 63279.88 min
Ep.:   500, Score:  -5.98, P_win: 0.18, Tran: 81.43, eps: 0.20, lr: 2.00e-04, pred: 549.76 min
Ep.:  1000, Score:  -2.96, P_win: 0.07, Tran: 78.76, eps: 0.19, lr: 2.00e-04, pred: 480.74 min
Ep.:  1500, Score:  -2.65, P_win: 0.30, Tran: 69.20, eps: 0.19, lr: 2.00e-04, pred: 445.75 min
Ep.:  2000, Score:   1.38, P_win: 0.40, Tran: 81.36, eps: 0.18, lr: 2.00e-04, pred: 428.64 min
Ep.:  2500, Score:   0.48, P_win: 0.52, Tran: 77.08, eps: 0.18, lr: 2.00e-04, pred: 417.98 min
Ep.:  3000, Score:   3.09, P_win: 0.54, Tran: 73.64, eps: 0.17, lr: 2.00e-04, pred: 406.61 min
Ep.:  3500, Score:   2.81, P_win: 0.59, Tran: 73.58, eps: 0.17, lr: 2.00e-04, pred: 396.09 min
Ep.:  4000, Score:   3.43, P_win: 0.77, Tran: 62.96, eps: 0.16, lr: 2.00e-04, pred: 385.59 min
Ep.:  4500, Score:   4.49, P_win: 0.57, Tran: 71.27, eps: 0.16, lr: 2.00e-04, pred: 376.90 min
Ep.:  5000, Score:   4.52, P_win: 0.81, Tran: 59.85, eps: 0.16, lr: 2.00e-04, pred: 367.61 min
Ep.:  5500, Score:   5.67, P_win: 0.84, Tran: 60.03, eps: 0.15, lr: 2.00e-04, pred: 358.79 min
Ep.:  6000, Score:   5.40, P_win: 0.85, Tran: 62.71, eps: 0.15, lr: 2.00e-04, pred: 351.95 min
Ep.:  6500, Score:   6.06, P_win: 0.83, Tran: 59.97, eps: 0.14, lr: 2.00e-04, pred: 345.95 min
Ep.:  7000, Score:   5.85, P_win: 0.57, Tran: 74.82, eps: 0.14, lr: 2.00e-04, pred: 342.69 min
Ep.:  7500, Score:   5.56, P_win: 0.84, Tran: 58.67, eps: 0.14, lr: 2.00e-04, pred: 337.88 min
Ep.:  8000, Score:   6.68, P_win: 0.83, Tran: 58.72, eps: 0.13, lr: 2.00e-04, pred: 333.06 min
Ep.:  8500, Score:   4.68, P_win: 0.92, Tran: 54.45, eps: 0.13, lr: 2.00e-04, pred: 328.16 min
Ep.:  9000, Score:   7.23, P_win: 0.69, Tran: 60.58, eps: 0.13, lr: 2.00e-04, pred: 323.22 min
Ep.:  9500, Score:   5.45, P_win: 0.83, Tran: 58.62, eps: 0.12, lr: 2.00e-04, pred: 318.43 min
Ep.: 10000, Score:   6.20, P_win: 0.87, Tran: 53.45, eps: 0.12, lr: 2.00e-04, pred: 313.24 min
Ep.: 10500, Score:   4.15, P_win: 0.61, Tran: 70.47, eps: 0.12, lr: 2.00e-04, pred: 309.16 min
Ep.: 11000, Score:   6.18, P_win: 0.65, Tran: 70.65, eps: 0.12, lr: 2.00e-04, pred: 304.58 min
Ep.: 11500, Score:   5.10, P_win: 0.69, Tran: 66.85, eps: 0.11, lr: 2.00e-04, pred: 299.79 min
Ep.: 12000, Score:   2.53, P_win: 0.54, Tran: 69.75, eps: 0.11, lr: 2.00e-04, pred: 295.14 min
Ep.: 12500, Score:   5.04, P_win: 0.68, Tran: 63.01, eps: 0.11, lr: 2.00e-04, pred: 290.10 min
Ep.: 13000, Score:   6.39, P_win: 0.48, Tran: 80.94, eps: 0.10, lr: 2.00e-04, pred: 285.35 min
Ep.: 13500, Score:   5.21, P_win: 0.78, Tran: 62.62, eps: 0.10, lr: 2.00e-04, pred: 279.99 min
Ep.: 14000, Score:   6.07, P_win: 0.77, Tran: 62.03, eps: 0.10, lr: 2.00e-04, pred: 274.30 min
Ep.: 14500, Score:   3.20, P_win: 0.65, Tran: 60.69, eps: 0.10, lr: 2.00e-04, pred: 268.58 min
Ep.: 15000, Score:   5.03, P_win: 0.86, Tran: 56.12, eps: 0.09, lr: 2.00e-04, pred: 262.78 min
Ep.: 15500, Score:   7.47, P_win: 0.91, Tran: 53.13, eps: 0.09, lr: 1.00e-04, pred: 254.22 min
Ep.: 16000, Score:   7.72, P_win: 0.92, Tran: 53.99, eps: 0.09, lr: 1.00e-04, pred: 245.97 min
Ep.: 16500, Score:   7.26, P_win: 0.89, Tran: 53.95, eps: 0.09, lr: 1.00e-04, pred: 237.97 min
Ep.: 17000, Score:   7.03, P_win: 0.55, Tran: 52.27, eps: 0.09, lr: 1.00e-04, pred: 230.16 min
Ep.: 17500, Score:   6.91, P_win: 0.90, Tran: 54.38, eps: 0.08, lr: 1.00e-04, pred: 222.42 min
Ep.: 18000, Score:   7.03, P_win: 0.96, Tran: 50.09, eps: 0.08, lr: 1.00e-04, pred: 214.83 min
Ep.: 18500, Score:   7.66, P_win: 0.81, Tran: 61.60, eps: 0.08, lr: 1.00e-04, pred: 207.59 min
Ep.: 19000, Score:   8.17, P_win: 0.96, Tran: 46.97, eps: 0.08, lr: 1.00e-04, pred: 200.24 min
Ep.: 19500, Score:   7.64, P_win: 0.97, Tran: 47.13, eps: 0.08, lr: 1.00e-04, pred: 192.96 min
Ep.: 20000, Score:   7.77, P_win: 0.90, Tran: 46.96, eps: 0.07, lr: 1.00e-04, pred: 185.82 min
Ep.: 20500, Score:   7.60, P_win: 0.75, Tran: 52.60, eps: 0.07, lr: 1.00e-04, pred: 178.83 min
Ep.: 21000, Score:   6.89, P_win: 0.92, Tran: 53.65, eps: 0.07, lr: 1.00e-04, pred: 171.99 min
Ep.: 21500, Score:   7.57, P_win: 0.95, Tran: 47.45, eps: 0.07, lr: 1.00e-04, pred: 165.23 min
Ep.: 22000, Score:   6.36, P_win: 0.94, Tran: 48.46, eps: 0.07, lr: 1.00e-04, pred: 158.65 min
Ep.: 22500, Score:   8.03, P_win: 0.85, Tran: 56.08, eps: 0.06, lr: 1.00e-04, pred: 152.09 min
Ep.: 23000, Score:   6.76, P_win: 0.67, Tran: 57.77, eps: 0.06, lr: 1.00e-04, pred: 145.69 min
Ep.: 23500, Score:   8.38, P_win: 0.97, Tran: 46.45, eps: 0.06, lr: 1.00e-04, pred: 139.17 min
Ep.: 24000, Score:   6.80, P_win: 0.95, Tran: 49.15, eps: 0.06, lr: 1.00e-04, pred: 132.70 min
Ep.: 24500, Score:   8.23, P_win: 0.93, Tran: 49.39, eps: 0.06, lr: 1.00e-04, pred: 126.29 min
Ep.: 25000, Score:   7.22, P_win: 0.94, Tran: 48.33, eps: 0.06, lr: 1.00e-04, pred: 119.96 min
Ep.: 25500, Score:   8.42, P_win: 0.96, Tran: 47.14, eps: 0.06, lr: 5.00e-05, pred: 113.58 min
Ep.: 26000, Score:   7.66, P_win: 0.99, Tran: 44.74, eps: 0.05, lr: 5.00e-05, pred: 107.23 min
Ep.: 26500, Score:   8.89, P_win: 0.97, Tran: 45.81, eps: 0.05, lr: 5.00e-05, pred: 100.97 min
Ep.: 27000, Score:   7.41, P_win: 0.99, Tran: 45.46, eps: 0.05, lr: 5.00e-05, pred: 94.74 min
Ep.: 27500, Score:   8.70, P_win: 0.94, Tran: 51.33, eps: 0.05, lr: 5.00e-05, pred: 88.61 min
Ep.: 28000, Score:   8.44, P_win: 0.96, Tran: 45.95, eps: 0.05, lr: 5.00e-05, pred: 82.47 min
Ep.: 28500, Score:   8.62, P_win: 0.95, Tran: 45.90, eps: 0.05, lr: 5.00e-05, pred: 76.38 min
Ep.: 29000, Score:   8.74, P_win: 0.94, Tran: 46.01, eps: 0.05, lr: 5.00e-05, pred: 70.30 min
Ep.: 29500, Score:   8.04, P_win: 0.94, Tran: 45.89, eps: 0.05, lr: 5.00e-05, pred: 64.27 min
Ep.: 30000, Score:   8.50, P_win: 0.95, Tran: 45.81, eps: 0.04, lr: 5.00e-05, pred: 58.28 min
Ep.: 30500, Score:   8.58, P_win: 0.98, Tran: 44.59, eps: 0.04, lr: 5.00e-05, pred: 52.32 min
Ep.: 31000, Score:   8.80, P_win: 0.91, Tran: 46.72, eps: 0.04, lr: 5.00e-05, pred: 46.39 min
Ep.: 31500, Score:   9.02, P_win: 0.96, Tran: 46.81, eps: 0.04, lr: 5.00e-05, pred: 40.51 min
Ep.: 32000, Score:   8.27, P_win: 0.96, Tran: 45.85, eps: 0.04, lr: 5.00e-05, pred: 34.65 min
Ep.: 32500, Score:   6.90, P_win: 0.91, Tran: 46.62, eps: 0.04, lr: 5.00e-05, pred: 28.82 min
Ep.: 33000, Score:   7.22, P_win: 0.85, Tran: 48.63, eps: 0.04, lr: 5.00e-05, pred: 23.01 min
Ep.: 33500, Score:   8.32, P_win: 0.91, Tran: 47.20, eps: 0.04, lr: 5.00e-05, pred: 17.23 min
Ep.: 34000, Score:   8.62, P_win: 0.94, Tran: 46.68, eps: 0.04, lr: 5.00e-05, pred: 11.46 min
Ep.: 34500, Score:   8.86, P_win: 0.97, Tran: 45.01, eps: 0.04, lr: 5.00e-05, pred:  5.72 min
~~~ Training Complete ~~~
DONE!
